SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000104017.2	1.97486489953984	0.34344525792742	1.92782219587172	1.85832145907091	2.3582848627663	3.45567863859694	1.51478516609458	-0.316487217050482	-0.316487217050482	-0.316487217050482	0.654280408909211	3.1971651360128	-0.316487217050482	0.185300461374878
ENSMUSG00000025900.14	3.63469844737143	1.84702826722038	3.09117329503346	1.42487442758457	0.668400797003258	2.28403508411149	1.025558090704	0.373699355838402	0.935820432153482	-0.316487217050482	-0.316487217050485	1.84500057270531	2.31852462731041	0.556880365546065
ENSMUSG00000033845.14	6.39086658859913	6.12382192119462	6.09924295669772	5.82754485713332	6.21569615888071	6.00418777622217	6.20837377685153	5.71509936279728	6.20339883974717	6.3010122651375	5.84442107317919	5.65010874404361	5.36222753746465	5.95258273301536
ENSMUSG00000025903.15	6.53686731803708	6.79685963598001	6.62941719737067	6.32755827745301	6.44782131024954	6.59581577929704	6.46477321848493	6.43502520067971	6.51490154104314	6.49528583067571	6.20250350117012	5.72810215277287	6.11453448377451	6.08625838853921
ENSMUSG00000033813.16	5.46423246019654	5.77692518610378	5.8645748198461	5.47757797145154	5.25367465828261	5.73713923673927	5.77167353695102	5.21951656435012	5.63346207751988	5.17141370402154	5.24038328251698	5.73890768489749	5.46521924475514	5.31776168823289
ENSMUSG00000033793.13	7.39930339986613	7.58669306972172	6.69059052327295	7.27722120986913	7.30791724674205	6.54435334474725	6.99279884023436	6.71083104595826	7.04600804810462	7.1354837234774	6.37988913086767	7.40402616284824	6.67791881777333	7.04523767757187
ENSMUSG00000025907.15	5.35821235197899	5.40107328224608	5.49095808720721	5.77892654603934	5.19294784582226	5.28924405545861	5.56180347129304	5.60258442279962	5.67584422795108	5.62343757935739	5.99149632810703	5.93958391332812	6.75108536732267	5.34172646971832
ENSMUSG00000090031.3	3.07027437307565	-0.316487217050485	2.67304972693351	3.28421699506563	3.24064791869187	3.41040562521749	3.29909788966722	3.76679392728701	2.39034976141138	1.21317295499501	3.98493369036982	5.59169920497507	3.56519749292152	2.45403285584175
ENSMUSG00000033740.18	2.72507889868996	0.34344525792742	2.46469644378979	1.14694136416687	0.258418235177812	2.38109759888775	0.279686126765523	1.18964574878759	-0.316487217050482	0.241089088734054	1.63943906045121	-0.316487217050482	-0.316487217050482	-0.316487217050482
ENSMUSG00000051285.18	5.76617162069154	4.34801633867782	5.46317906741518	5.72861250349027	5.65360854229344	5.8600938898168	5.51070860213686	5.29386999091665	5.94205902899762	6.3010122651375	5.2550176395687	6.6211113194526	6.38137887231422	5.88894891518046
ENSMUSG00000061024.9	4.920987383573	4.64515698488615	5.50464955692231	5.64969009077101	4.92071272115583	5.17206637298355	5.28604818309678	4.3581817012235	5.24037300532767	4.53330587582006	5.31211428148327	3.1971651360128	5.75673374133211	5.8725920276357
ENSMUSG00000045210.9	6.54379347185967	6.92956218715352	7.17879957686453	7.3160745138754	7.41482156691999	6.81142568024881	6.881564301512	7.10083646510464	7.52313590783424	7.28666261844603	7.35604619273573	7.32734595988169	7.15703563959416	7.04523767757187
ENSMUSG00000097893.9	3.78255853439711	2.77776789329111	3.77270915506218	4.18669797661002	4.84379441658466	3.66290677694074	4.69311949447048	4.64055054897324	4.29809118578378	4.55671932684619	4.38156238089009	4.80225020015158	4.1941461577931	4.20997307590811
ENSMUSG00000025915.15	4.22316677513649	3.79122096710126	4.65798862431194	3.28421699506563	4.29821275178663	1.94618533031902	4.33024992450516	4.42587859634037	3.9975104451384	5.39571253470376	5.26950503862567	5.44104012073432	4.94768190106497	4.42713309824225
ENSMUSG00000046101.17	3.63469844737143	3.6377292677496	3.41494986749939	4.14893570054273	2.46486369850243	3.15991044311058	3.10605925290652	1.91031506071868	2.82634921602509	3.55949353131083	3.02249187848505	2.37477119150372	3.7802137017715	3.08503974009264
ENSMUSG00000098234.8	4.76376634896082	5.50830182135487	5.20259009453275	5.68969090967259	5.51163915285906	5.23833622170262	5.68214362367825	4.49054075805381	5.9069061329262	5.96711074624629	5.88261924809884	5.21204900382528	5.70505968030158	5.74362052651467
ENSMUSG00000025917.10	6.03551528909422	6.35482750957952	6.06268760368647	6.09910602175334	5.99335787980783	6.51791695031333	6.04739428699372	5.72856622871605	6.18150295757646	5.45921074962521	6.03454356508297	6.31662101309866	6.19914694466896	6.24716794182713
ENSMUSG00000056763.17	5.50738831914376	5.3360204148701	4.63327274506498	5.29945487097061	4.43560470746217	4.55535285113573	5.14238460646253	4.66876765583495	4.79763239654184	4.99411297947575	5.94712503612119	2.48156677245347	4.71669842156285	4.88409422983036
ENSMUSG00000067851.12	5.91248128740799	6.65070278386461	6.26125265750998	5.98586052939539	5.81342956796923	6.16956064388424	5.7276029681844	6.66953561720038	6.5888523862035	6.41429111325853	6.16425044887116	5.54320684480594	6.42035358542155	5.73459824181825
ENSMUSG00000102556.2	2.27040860513172	2.9615168727335	2.08189521345563	0.802372765930334	1.4692303795462	2.71482044630137	1.025558090704	2.63741378964923	0.230212737105565	0.955765157350078	0.249052994638902	-0.316487217050482	0.645210457762845	1.30636592623221
ENSMUSG00000048960.14	3.07027437307565	2.67630007021377	3.77270915506218	2.9745485459037	-0.316487217050482	2.55758714167631	1.29081052435725	-0.316487217050482	1.76252689695801	-0.316487217050482	0.249052994638902	1.48312109789731	0.243053719522106	1.65133405092788
ENSMUSG00000057715.14	2.27040860513172	3.27089754548505	1.06315810438485	-0.316487217050482	0.258418235177812	2.85658917521274	0.700296547126619	-0.316487217050482	1.59594930804292	-0.316487217050482	0.249052994638902	-0.316487217050482	0.959354530749488	1.09703545423385
ENSMUSG00000025938.17	2.13019151742954	3.3388844657487	2.67304972693351	0.802372765930334	-0.316487217050482	1.81335883295956	0.700296547126619	0.373699355838402	-0.316487217050482	2.51808834991375	0.249052994638902	-0.316487217050482	1.79340861879278	-0.316487217050482
ENSMUSG00000005886.15	6.46571307484785	5.80122908079666	6.51907190269018	6.82929570007968	7.01086806351633	6.66972303965359	6.85620465024072	7.53179813699359	7.56601937820213	7.3716276152887	7.50428270493002	7.9253570113429	6.80607838304569	6.82065685580649
ENSMUSG00000103506.2	0.321771587166091	-0.316487217050485	1.55932163030891	1.42487442758457	1.2482905864075	0.566489861488198	1.51478516609458	2.0879922855771	3.09975148066957	3.25048313636693	2.33412966599016	2.13406754207487	1.435833600313	2.26645515934557
ENSMUSG00000103495.2	1.37316895159233	3.97336771133347	2.9381422452969	2.33264262813966	2.65696201083034	1.94618533031902	1.51478516609458	0.373699355838402	-0.316487217050482	1.78870873418389	0.654280408909211	-0.316487217050482	2.61580125591645	2.96673936608101
ENSMUSG00000104170.2	2.13019151742954	1.1377023712057	1.06315810438485	2.68900575621204	3.17935842695633	2.38109759888775	2.29634072069875	1.47176777665825	3.03610338319303	1.78870873418389	3.02249187848505	1.84500057270531	1.435833600313	1.92952656495112
ENSMUSG00000103085.2	3.41054991257269	2.9615168727335	3.29401295365062	2.03433113538983	3.29943943150062	4.06466863205863	2.71275746312316	4.52181652536066	3.21919658037936	3.9614966214901	3.43609875853134	4.31694788803333	2.78462543003709	2.76883658089619
ENSMUSG00000102664.2	1.60275662905952	-0.316487217050485	1.55932163030891	0.802372765930334	2.1181326194583	1.50421492490847	2.71275746312316	2.24616730438506	0.935820432153482	2.77922001211901	2.21942032190213	2.25943352167671	1.217176157811	1.92952656495112
ENSMUSG00000025935.11	7.52712460521205	7.63819588259912	8.06357165138819	7.89148302483523	7.86512069130097	7.82147133463819	7.34242908679206	7.4689992236847	7.03790687655778	7.026509582874	6.90095680174353	6.54311370947728	7.3239188010365	7.13025082511262
ENSMUSG00000025937.7	4.29059926050147	4.38064009180397	5.2192934359395	4.76285172187735	5.09677805020885	5.15843912204759	5.47116371881626	4.94741187452207	4.29809118578378	4.95939757583432	3.62820698830555	4.93972542352726	4.03583398811912	4.88409422983036
ENSMUSG00000102982.2	2.51558147753746	-0.316487217050485	1.33246529097785	0.348793176123042	-0.316487217050482	1.81335883295956	2.51952144242718	2.74734460652729	2.66739259056455	1.43153289272675	-0.316487217050485	-0.316487217050482	1.62567108483176	1.09703545423385
ENSMUSG00000025932.15	1.80077469674128	2.87256580843227	2.2210901053041	2.1911835589578	3.69938273753884	-0.316487217050482	1.025558090704	1.18964574878759	-0.316487217050482	2.31339162660281	1.63943906045121	-0.316487217050482	-0.316487217050482	-0.316487217050482
